"","P1","P2","P3","P4","P5","P6","P7","P8"
"81","Truffle Cake","Gongolais Cookie","Apricot Croissant",NA,NA,NA,NA,NA
"82","Coffee Eclair","Apple Pie","Pecan Tart","Tuile Cookie","Almond Twist","Hot Coffee",NA,NA
"83","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"84","Opera Cake","Truffle Cake","Berry Tart","Gongolais Cookie","Apple Danish",NA,NA,NA
"85","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"86","Hot Coffee",NA,NA,NA,NA,NA,NA,NA
"87","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"88","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"89","Truffle Cake","Lemon Tart","Gongolais Cookie","Chocolate Croissant","Green Tea",NA,NA,NA
"90","Chocolate Cake","Casino Cake","Hot Coffee","Chocolate Coffee",NA,NA,NA,NA
"91","Blueberry Tart","Apricot Croissant","Hot Coffee","Vanilla Frappuccino","Cherry Soda",NA,NA,NA
"92","Lemon Cake","Cherry Soda",NA,NA,NA,NA,NA,NA
"93","Lemon Cake","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA
"94","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"95","Blueberry Tart","Vanilla Meringue","Apricot Croissant","Raspberry Lemonade","Hot Coffee",NA,NA,NA
"96","Lemon Cake","Walnut Cookie","Almond Croissant",NA,NA,NA,NA,NA
"97","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"98","Lemon Cake",NA,NA,NA,NA,NA,NA,NA
"99","Berry Tart","Gongolais Cookie","Almond Twist",NA,NA,NA,NA,NA
"100","Gongolais Cookie","Chocolate Croissant","Lemon Lemonade",NA,NA,NA,NA,NA
"101","Apple Croissant",NA,NA,NA,NA,NA,NA,NA
"102","Blueberry Tart","Chocolate Tart","Green Tea",NA,NA,NA,NA,NA
"103","Vanilla Eclair","Lemon Tart","Pecan Tart","Cherry Soda",NA,NA,NA,NA
"104","Lemon Cake","Apple Tart","Blackberry Tart","Marzipan Cookie","Apple Croissant","Chocolate Croissant","Apple Danish","Cherry Soda"
"105","Opera Cake","Lemon Lemonade","Hot Coffee",NA,NA,NA,NA,NA
"106","Apricot Tart","Cherry Tart","Ganache Cookie","Raspberry Lemonade","Vanilla Frappuccino","Cherry Soda",NA,NA
"107","Opera Cake","Cherry Tart","Gongolais Cookie","Marzipan Cookie",NA,NA,NA,NA
"108","Chocolate Eclair","Blueberry Tart","Chocolate Tart","Apple Croissant","Cheese Croissant","Orange Juice",NA,NA
"109","Truffle Cake","Gongolais Cookie","Marzipan Cookie","Apricot Danish",NA,NA,NA,NA
"110","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"111","Chocolate Eclair","Apple Tart","Vanilla Meringue","Walnut Cookie","Apple Croissant","Apricot Croissant","Apple Danish","Cherry Soda"
"112","Apple Pie","Apricot Tart","Berry Tart","Bottled Water",NA,NA,NA,NA
"113","Raspberry Cookie","Cheese Croissant","Apricot Danish",NA,NA,NA,NA,NA
"114","Truffle Cake","Vanilla Eclair","Cherry Tart","Walnut Cookie","Chocolate Coffee",NA,NA,NA
"115","Raspberry Lemonade",NA,NA,NA,NA,NA,NA,NA
"116","Lemon Cake","Opera Cake","Vanilla Eclair","Marzipan Cookie","Tuile Cookie",NA,NA,NA
"117","Lemon Cake","Apple Pie","Lemon Tart","Cheese Croissant",NA,NA,NA,NA
"118","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"119","Blueberry Tart","Cherry Tart","Raspberry Cookie","Marzipan Cookie","Walnut Cookie","Almond Croissant","Lemon Lemonade","Single Espresso"
"120","Berry Tart","Cherry Tart","Bottled Water",NA,NA,NA,NA,NA
"121","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"122","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"123","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"124","Coffee Eclair","Apple Pie","Pecan Tart","Walnut Cookie","Almond Twist","Hot Coffee",NA,NA
"125","Casino Cake","Lemon Cookie","Marzipan Cookie",NA,NA,NA,NA,NA
"126","Truffle Cake","Apricot Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"127","Gongolais Cookie","Orange Juice","Chocolate Coffee","Vanilla Frappuccino",NA,NA,NA,NA
"128","Blueberry Danish","Raspberry Lemonade",NA,NA,NA,NA,NA,NA
"129","Apricot Tart","Raspberry Cookie",NA,NA,NA,NA,NA,NA
"130","Lemon Cake","Lemon Cookie","Lemon Lemonade","Orange Juice",NA,NA,NA,NA
"131","Berry Tart","Pecan Tart","Vanilla Meringue","Bottled Water",NA,NA,NA,NA
"132","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"133","Coffee Eclair","Ganache Cookie","Marzipan Cookie","Tuile Cookie","Cheese Croissant","Apple Danish","Vanilla Frappuccino",NA
"134","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"135","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"136","Strawberry Cake","Napoleon Cake","Apple Pie",NA,NA,NA,NA,NA
"137","Opera Cake","Apple Pie","Berry Tart","Cherry Tart","Walnut Cookie","Apricot Danish",NA,NA
"138","Pecan Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"139","Gongolais Cookie","Bottled Water","Chocolate Coffee",NA,NA,NA,NA,NA
"140","Truffle Cake","Chocolate Eclair","Blueberry Tart","Gongolais Cookie","Cheese Croissant","Almond Bear Claw","Single Espresso",NA
"141","Chocolate Cake","Casino Cake","Apple Tart","Lemon Cookie","Vanilla Meringue","Apple Croissant","Chocolate Coffee",NA
"142","Chocolate Cake","Chocolate Eclair","Chocolate Meringue",NA,NA,NA,NA,NA
"143","Truffle Cake","Lemon Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"144","Apple Pie","Apricot Tart","Berry Tart","Apricot Danish","Cherry Soda",NA,NA,NA
"145","Chocolate Tart","Walnut Cookie","Apricot Danish","Bottled Water","Vanilla Frappuccino",NA,NA,NA
"146","Coffee Eclair","Blackberry Tart",NA,NA,NA,NA,NA,NA
"147","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"148","Chocolate Cake","Lemon Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA
"149","Strawberry Cake","Napoleon Cake","Cherry Tart","Raspberry Lemonade",NA,NA,NA,NA
"150","Lemon Cake","Apple Tart","Cherry Tart","Lemon Tart","Blueberry Danish",NA,NA,NA
"151","Chocolate Cake","Casino Cake","Lemon Tart","Gongolais Cookie","Chocolate Coffee",NA,NA,NA
"152","Cheese Croissant","Almond Twist","Orange Juice",NA,NA,NA,NA,NA
"153","Chocolate Cake","Casino Cake","Almond Twist","Chocolate Coffee",NA,NA,NA,NA
"154","Apple Pie","Cherry Tart","Apricot Danish","Hot Coffee",NA,NA,NA,NA
"155","Strawberry Cake","Napoleon Cake","Blackberry Tart",NA,NA,NA,NA,NA
"156","Lemon Tart","Lemon Cookie","Tuile Cookie","Apricot Danish","Single Espresso",NA,NA,NA
"157","Truffle Cake","Gongolais Cookie","Almond Twist",NA,NA,NA,NA,NA
"158","Chocolate Cake","Casino Cake","Truffle Cake","Lemon Tart","Cheese Croissant","Apricot Danish","Blueberry Danish","Chocolate Coffee"
"159","Opera Cake","Strawberry Cake","Truffle Cake","Cherry Soda",NA,NA,NA,NA
"160","Strawberry Cake","Chocolate Eclair","Cherry Tart","Tuile Cookie","Apricot Danish",NA,NA,NA
"161","Opera Cake","Cherry Tart","Apple Croissant","Apricot Danish",NA,NA,NA,NA
"162","Chocolate Eclair","Chocolate Tart","Chocolate Meringue","Single Espresso",NA,NA,NA,NA
"163","Chocolate Tart",NA,NA,NA,NA,NA,NA,NA
"164","Opera Cake","Vanilla Eclair","Napoleon Cake","Pecan Tart","Gongolais Cookie","Raspberry Cookie","Orange Juice",NA
"165","Strawberry Cake","Blackberry Tart","Chocolate Tart","Ganache Cookie","Vanilla Meringue","Apple Danish","Cherry Soda",NA
"166","Berry Tart","Raspberry Lemonade","Bottled Water",NA,NA,NA,NA,NA
"167","Lemon Tart","Tuile Cookie","Orange Juice",NA,NA,NA,NA,NA
"168","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"169","Apricot Tart","Apple Croissant","Cheese Croissant","Raspberry Lemonade","Orange Juice",NA,NA,NA
"170","Truffle Cake","Gongolais Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"171","Chocolate Cake","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA
"172","Truffle Cake","Tuile Cookie","Green Tea",NA,NA,NA,NA,NA
"173","Lemon Cookie","Apple Danish","Almond Twist","Orange Juice",NA,NA,NA,NA
"174","Apple Croissant",NA,NA,NA,NA,NA,NA,NA
"175","Lemon Lemonade","Orange Juice",NA,NA,NA,NA,NA,NA
"176","Apple Pie","Chocolate Croissant","Cherry Soda",NA,NA,NA,NA,NA
"177","Berry Tart","Tuile Cookie","Lemon Lemonade","Green Tea",NA,NA,NA,NA
"178","Chocolate Cake","Apricot Tart","Vanilla Meringue",NA,NA,NA,NA,NA
"179","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"180","Almond Tart","Berry Tart","Bottled Water","Chocolate Coffee",NA,NA,NA,NA
"181","Strawberry Cake","Coffee Eclair","Napoleon Cake","Lemon Tart","Apple Danish",NA,NA,NA
"182","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"183","Strawberry Cake","Napoleon Cake","Almond Twist",NA,NA,NA,NA,NA
"184","Truffle Cake","Gongolais Cookie","Apple Croissant",NA,NA,NA,NA,NA
"185","Ganache Cookie","Lemon Cookie","Walnut Cookie",NA,NA,NA,NA,NA
"186","Chocolate Cake","Chocolate Eclair","Gongolais Cookie","Chocolate Coffee",NA,NA,NA,NA
"187","Opera Cake","Cherry Tart","Ganache Cookie","Apricot Danish","Blueberry Danish","Chocolate Coffee",NA,NA
"188","Apple Tart","Apple Croissant","Apple Danish","Almond Bear Claw","Cherry Soda",NA,NA,NA
"189","Tuile Cookie",NA,NA,NA,NA,NA,NA,NA
"190","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"191","Apple Tart","Lemon Cookie",NA,NA,NA,NA,NA,NA
"192","Chocolate Eclair","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"193","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"194","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"195","Truffle Cake","Berry Tart","Blueberry Tart","Gongolais Cookie",NA,NA,NA,NA
"196","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"197","Marzipan Cookie","Tuile Cookie","Bottled Water","Vanilla Frappuccino",NA,NA,NA,NA
"198","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"199","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"200","Chocolate Cake","Almond Tart","Almond Croissant",NA,NA,NA,NA,NA
"201","Blackberry Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"202","Strawberry Cake","Napoleon Cake","Lemon Lemonade",NA,NA,NA,NA,NA
"203","Lemon Cake","Apple Danish",NA,NA,NA,NA,NA,NA
"204","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"205","Chocolate Meringue","Marzipan Cookie","Tuile Cookie","Apricot Croissant",NA,NA,NA,NA
"206","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"207","Pecan Tart","Cherry Soda",NA,NA,NA,NA,NA,NA
"208","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"209","Napoleon Cake","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"210","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"211","Lemon Cake","Casino Cake","Napoleon Cake","Gongolais Cookie","Cherry Soda",NA,NA,NA
"212","Coffee Eclair","Marzipan Cookie","Blueberry Danish","Hot Coffee",NA,NA,NA,NA
"213","Lemon Cake","Chocolate Eclair","Vanilla Eclair","Blackberry Tart","Cherry Tart","Lemon Tart","Ganache Cookie","Orange Juice"
"214","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"215","Strawberry Cake","Berry Tart","Pecan Tart","Apricot Croissant","Apple Danish","Bottled Water",NA,NA
"216","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"217","Cherry Tart","Vanilla Meringue","Orange Juice","Hot Coffee",NA,NA,NA,NA
"218","Casino Cake","Apple Pie","Raspberry Cookie",NA,NA,NA,NA,NA
"219","Apple Pie","Blackberry Tart","Apricot Danish",NA,NA,NA,NA,NA
"220","Apple Croissant","Blueberry Danish","Green Tea","Hot Coffee","Chocolate Coffee",NA,NA,NA
"221","Chocolate Cake","Casino Cake","Tuile Cookie","Lemon Lemonade","Chocolate Coffee",NA,NA,NA
"222","Apricot Tart","Lemon Cookie","Vanilla Meringue","Apricot Danish","Blueberry Danish","Vanilla Frappuccino",NA,NA
"223","Coffee Eclair","Ganache Cookie","Raspberry Cookie","Almond Croissant","Apple Danish",NA,NA,NA
"224","Raspberry Cookie","Lemon Lemonade","Vanilla Frappuccino",NA,NA,NA,NA,NA
"225","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"226","Lemon Cake","Truffle Cake","Lemon Tart","Almond Croissant",NA,NA,NA,NA
"227","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"228","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"229","Raspberry Cookie","Apple Croissant","Chocolate Croissant","Hot Coffee",NA,NA,NA,NA
"230","Coffee Eclair","Walnut Cookie","Cherry Soda",NA,NA,NA,NA,NA
"231","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"232","Lemon Cookie","Bottled Water",NA,NA,NA,NA,NA,NA
"233","Strawberry Cake","Truffle Cake","Napoleon Cake","Blueberry Danish",NA,NA,NA,NA
"234","Truffle Cake","Gongolais Cookie","Chocolate Meringue","Tuile Cookie","Chocolate Croissant","Chocolate Coffee",NA,NA
"235","Raspberry Cookie","Apricot Croissant","Cherry Soda",NA,NA,NA,NA,NA
"236","Blueberry Tart","Orange Juice",NA,NA,NA,NA,NA,NA
"237","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"238","Strawberry Cake","Napoleon Cake","Blackberry Tart","Chocolate Meringue",NA,NA,NA,NA
"239","Lemon Cake","Apple Tart","Blueberry Tart","Chocolate Tart","Lemon Tart","Vanilla Meringue","Cherry Soda",NA
"240","Lemon Cake","Opera Cake","Blueberry Tart","Lemon Tart","Apricot Danish",NA,NA,NA
"241","Apple Pie","Apple Tart",NA,NA,NA,NA,NA,NA
"242","Strawberry Cake","Napoleon Cake","Almond Tart","Apple Tart","Hot Coffee",NA,NA,NA
"243","Apple Tart","Apple Croissant","Apple Danish","Chocolate Coffee","Cherry Soda",NA,NA,NA
"244","Chocolate Tart","Tuile Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"245","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"246","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"247","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"248","Truffle Cake","Apple Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"249","Chocolate Eclair","Berry Tart","Almond Bear Claw","Cherry Soda",NA,NA,NA,NA
"250","Napoleon Cake","Almond Tart","Chocolate Croissant","Apple Danish","Orange Juice",NA,NA,NA
"251","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"252","Opera Cake",NA,NA,NA,NA,NA,NA,NA
"253","Berry Tart","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"254","Chocolate Cake","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA
"255","Opera Cake","Cherry Tart","Lemon Cookie","Apricot Danish",NA,NA,NA,NA
"256","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"257","Lemon Tart","Apple Croissant","Raspberry Lemonade",NA,NA,NA,NA,NA
"258","Lemon Cake","Apple Pie","Berry Tart","Apricot Croissant","Chocolate Croissant","Apricot Danish",NA,NA
"259","Truffle Cake","Berry Tart","Tuile Cookie","Blueberry Danish","Single Espresso",NA,NA,NA
"260","Napoleon Cake","Berry Tart","Ganache Cookie","Chocolate Coffee",NA,NA,NA,NA
"261","Chocolate Eclair",NA,NA,NA,NA,NA,NA,NA
"262","Truffle Cake","Gongolais Cookie","Apple Croissant",NA,NA,NA,NA,NA
"263","Apple Pie","Lemon Lemonade",NA,NA,NA,NA,NA,NA
"264","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"265","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"266","Opera Cake","Berry Tart","Raspberry Cookie","Bottled Water",NA,NA,NA,NA
"267","Cherry Tart","Gongolais Cookie","Orange Juice","Single Espresso",NA,NA,NA,NA
"268","Opera Cake","Lemon Cookie",NA,NA,NA,NA,NA,NA
"269","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"270","Pecan Tart","Chocolate Meringue","Marzipan Cookie",NA,NA,NA,NA,NA
"271","Blackberry Tart","Almond Croissant","Blueberry Danish",NA,NA,NA,NA,NA
"272","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"273","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"274","Blueberry Tart","Cherry Tart","Apricot Croissant","Orange Juice",NA,NA,NA,NA
"275","Marzipan Cookie","Apple Croissant","Cheese Croissant","Orange Juice",NA,NA,NA,NA
"276","Truffle Cake","Napoleon Cake","Gongolais Cookie","Green Tea",NA,NA,NA,NA
"277","Casino Cake","Strawberry Cake","Apple Danish","Lemon Lemonade","Raspberry Lemonade","Cherry Soda",NA,NA
"278","Lemon Tart","Tuile Cookie","Almond Croissant","Apricot Croissant",NA,NA,NA,NA
"279","Casino Cake","Apple Croissant","Blueberry Danish","Bottled Water",NA,NA,NA,NA
"280","Lemon Cake","Casino Cake","Lemon Tart","Ganache Cookie","Raspberry Cookie","Tuile Cookie","Hot Coffee",NA
"281","Coffee Eclair","Almond Tart","Berry Tart","Blueberry Tart","Raspberry Cookie","Apricot Croissant","Hot Coffee",NA
"282","Strawberry Cake","Napoleon Cake","Berry Tart","Apple Danish","Bottled Water",NA,NA,NA
"283","Ganache Cookie","Walnut Cookie",NA,NA,NA,NA,NA,NA
"284","Napoleon Cake","Apricot Tart","Chocolate Tart","Chocolate Coffee",NA,NA,NA,NA
"285","Almond Bear Claw","Blueberry Danish",NA,NA,NA,NA,NA,NA
"286","Lemon Cake","Vanilla Eclair","Lemon Tart",NA,NA,NA,NA,NA
"287","Chocolate Cake","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"288","Casino Cake","Cheese Croissant","Apple Danish","Vanilla Frappuccino",NA,NA,NA,NA
"289","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"290","Tuile Cookie",NA,NA,NA,NA,NA,NA,NA
"291","Blueberry Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"292","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"293","Vanilla Eclair","Ganache Cookie","Lemon Cookie","Cheese Croissant","Chocolate Croissant","Lemon Lemonade","Orange Juice","Bottled Water"
"294","Lemon Cake","Berry Tart","Vanilla Meringue","Apricot Croissant","Raspberry Lemonade",NA,NA,NA
"295","Raspberry Cookie","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"296","Berry Tart","Ganache Cookie","Raspberry Cookie","Lemon Cookie",NA,NA,NA,NA
