"","P1","P2","P3","P4","P5","P6","P7","P8"
"82","Ganache Cookie","Marzipan Cookie","Tuile Cookie","Apple Croissant",NA,NA,NA,NA
"83","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"84","Strawberry Cake","Single Espresso",NA,NA,NA,NA,NA,NA
"85","Lemon Cake","Vanilla Eclair","Blackberry Tart","Raspberry Lemonade",NA,NA,NA,NA
"86","Truffle Cake","Blueberry Tart","Chocolate Tart",NA,NA,NA,NA,NA
"87","Strawberry Cake","Apricot Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA
"88","Truffle Cake","Gongolais Cookie","Almond Croissant",NA,NA,NA,NA,NA
"89","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"90","Blueberry Tart","Raspberry Cookie","Marzipan Cookie","Apricot Croissant","Blueberry Danish","Hot Coffee","Vanilla Frappuccino",NA
"91","Napoleon Cake","Lemon Tart","Almond Croissant",NA,NA,NA,NA,NA
"92","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"93","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"94","Chocolate Tart","Tuile Cookie","Almond Croissant","Apple Croissant","Raspberry Lemonade","Vanilla Frappuccino",NA,NA
"95","Chocolate Cake","Apricot Tart","Gongolais Cookie","Walnut Cookie",NA,NA,NA,NA
"96","Truffle Cake","Apple Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"97","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"98","Casino Cake","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA
"99","Opera Cake","Cherry Tart","Apricot Danish","Bottled Water",NA,NA,NA,NA
"100","Strawberry Cake","Cherry Tart","Blueberry Danish",NA,NA,NA,NA,NA
"101","Coffee Eclair","Blackberry Tart","Almond Croissant","Single Espresso",NA,NA,NA,NA
"102","Napoleon Cake",NA,NA,NA,NA,NA,NA,NA
"103","Strawberry Cake",NA,NA,NA,NA,NA,NA,NA
"104","Cherry Tart","Gongolais Cookie","Bottled Water",NA,NA,NA,NA,NA
"105","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"106","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"107","Opera Cake","Truffle Cake","Ganache Cookie","Lemon Lemonade","Bottled Water","Cherry Soda",NA,NA
"108","Coffee Eclair","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"109","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"110","Apple Tart","Apricot Croissant","Orange Juice",NA,NA,NA,NA,NA
"111","Raspberry Cookie","Chocolate Croissant","Blueberry Danish",NA,NA,NA,NA,NA
"112","Vanilla Eclair","Raspberry Cookie","Apple Croissant",NA,NA,NA,NA,NA
"113","Chocolate Cake","Apple Pie","Berry Tart","Lemon Tart","Walnut Cookie","Raspberry Lemonade",NA,NA
"114","Blackberry Tart","Blueberry Danish",NA,NA,NA,NA,NA,NA
"115","Blueberry Tart","Lemon Cookie","Apricot Croissant","Cheese Croissant","Hot Coffee",NA,NA,NA
"116","Chocolate Cake","Blackberry Tart","Ganache Cookie","Almond Croissant","Chocolate Coffee",NA,NA,NA
"117","Chocolate Eclair","Apple Pie",NA,NA,NA,NA,NA,NA
"118","Chocolate Eclair","Vanilla Meringue","Green Tea",NA,NA,NA,NA,NA
"119","Strawberry Cake","Apple Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA
"120","Apple Croissant","Apricot Croissant","Raspberry Lemonade",NA,NA,NA,NA,NA
"121","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"122","Strawberry Cake","Apple Croissant","Blueberry Danish","Hot Coffee",NA,NA,NA,NA
"123","Blueberry Tart","Pecan Tart","Apple Danish","Almond Twist",NA,NA,NA,NA
"124","Chocolate Cake","Lemon Cake","Lemon Cookie","Apple Croissant","Chocolate Croissant","Chocolate Coffee",NA,NA
"125","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"126","Raspberry Cookie","Chocolate Coffee","Single Espresso",NA,NA,NA,NA,NA
"127","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"128","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"129","Almond Bear Claw",NA,NA,NA,NA,NA,NA,NA
"130","Strawberry Cake","Napoleon Cake","Green Tea",NA,NA,NA,NA,NA
"131","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"132","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"133","Marzipan Cookie","Chocolate Croissant","Chocolate Coffee",NA,NA,NA,NA,NA
"134","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"135","Cheese Croissant","Orange Juice","Hot Coffee",NA,NA,NA,NA,NA
"136","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"137","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA,NA
"138","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"139","Truffle Cake","Gongolais Cookie","Almond Twist","Vanilla Frappuccino",NA,NA,NA,NA
"140","Blueberry Tart","Apricot Croissant","Raspberry Lemonade","Cherry Soda",NA,NA,NA,NA
"141","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"142","Chocolate Eclair","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"143","Chocolate Eclair","Blueberry Tart","Tuile Cookie","Apricot Croissant",NA,NA,NA,NA
"144","Apple Danish","Orange Juice","Cherry Soda","Single Espresso",NA,NA,NA,NA
"145","Casino Cake","Chocolate Meringue","Blueberry Danish",NA,NA,NA,NA,NA
"146","Apricot Danish","Blueberry Danish","Green Tea","Chocolate Coffee",NA,NA,NA,NA
"147","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"148","Berry Tart",NA,NA,NA,NA,NA,NA,NA
"149","Lemon Cake","Strawberry Cake","Napoleon Cake","Blackberry Tart","Pecan Tart",NA,NA,NA
"150","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"151","Apple Tart","Ganache Cookie","Chocolate Meringue","Vanilla Meringue",NA,NA,NA,NA
"152","Walnut Cookie",NA,NA,NA,NA,NA,NA,NA
"153","Casino Cake","Opera Cake","Apple Pie","Lemon Tart","Raspberry Lemonade","Hot Coffee","Vanilla Frappuccino",NA
"154","Cherry Tart","Lemon Tart","Tuile Cookie","Cherry Soda",NA,NA,NA,NA
"155","Berry Tart","Chocolate Meringue",NA,NA,NA,NA,NA,NA
"156","Opera Cake","Apple Tart","Cherry Tart","Apple Croissant","Chocolate Croissant","Apricot Danish",NA,NA
"157","Opera Cake","Vanilla Meringue","Apricot Croissant","Cheese Croissant",NA,NA,NA,NA
"158","Casino Cake","Truffle Cake","Chocolate Meringue","Apricot Croissant",NA,NA,NA,NA
"159","Lemon Cake","Vanilla Eclair","Berry Tart","Walnut Cookie","Apricot Danish","Blueberry Danish","Single Espresso",NA
"160","Truffle Cake","Gongolais Cookie","Lemon Cookie",NA,NA,NA,NA,NA
"161","Opera Cake","Truffle Cake","Apple Tart","Blackberry Tart","Chocolate Tart","Pecan Tart","Ganache Cookie",NA
"162","Strawberry Cake","Walnut Cookie","Green Tea",NA,NA,NA,NA,NA
"163","Vanilla Eclair","Chocolate Tart","Gongolais Cookie","Raspberry Cookie","Lemon Cookie",NA,NA,NA
"164","Ganache Cookie","Apricot Danish",NA,NA,NA,NA,NA,NA
"165","Opera Cake","Almond Tart","Lemon Cookie","Almond Croissant","Lemon Lemonade",NA,NA,NA
"166","Opera Cake","Apricot Tart","Gongolais Cookie","Marzipan Cookie","Tuile Cookie","Apricot Danish","Almond Bear Claw","Blueberry Danish"
"167","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"168","Chocolate Tart","Walnut Cookie","Almond Twist","Vanilla Frappuccino",NA,NA,NA,NA
"169","Truffle Cake","Gongolais Cookie","Single Espresso",NA,NA,NA,NA,NA
"170","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"171","Opera Cake","Cherry Tart","Apricot Danish","Almond Bear Claw",NA,NA,NA,NA
"172","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"173","Casino Cake","Chocolate Eclair","Apple Pie","Lemon Cookie","Bottled Water",NA,NA,NA
"174","Chocolate Eclair","Cherry Soda",NA,NA,NA,NA,NA,NA
"175","Casino Cake","Tuile Cookie","Raspberry Lemonade",NA,NA,NA,NA,NA
"176","Tuile Cookie",NA,NA,NA,NA,NA,NA,NA
"177","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"178","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"179","Gongolais Cookie","Lemon Cookie","Apple Danish","Hot Coffee",NA,NA,NA,NA
"180","Truffle Cake","Berry Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"181","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"182","Tuile Cookie","Orange Juice","Single Espresso",NA,NA,NA,NA,NA
"183","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"184","Apple Tart","Lemon Cookie","Cheese Croissant","Apple Danish","Orange Juice","Hot Coffee",NA,NA
"185","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"186","Chocolate Cake","Lemon Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA
"187","Ganache Cookie","Walnut Cookie","Almond Croissant","Almond Bear Claw","Single Espresso",NA,NA,NA
"188","Chocolate Eclair","Apple Pie","Blackberry Tart","Blueberry Tart","Pecan Tart",NA,NA,NA
"189","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"190","Apple Tart","Gongolais Cookie","Lemon Cookie",NA,NA,NA,NA,NA
"191","Coffee Eclair","Apricot Tart","Blackberry Tart","Bottled Water","Single Espresso",NA,NA,NA
"192","Lemon Cake","Green Tea",NA,NA,NA,NA,NA,NA
"193","Opera Cake","Cherry Tart","Raspberry Cookie","Apricot Danish",NA,NA,NA,NA
"194","Vanilla Meringue","Lemon Lemonade",NA,NA,NA,NA,NA,NA
"195","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"196","Chocolate Eclair","Berry Tart","Lemon Cookie",NA,NA,NA,NA,NA
"197","Blueberry Tart","Almond Twist",NA,NA,NA,NA,NA,NA
"198","Chocolate Meringue","Orange Juice","Cherry Soda",NA,NA,NA,NA,NA
"199","Casino Cake","Napoleon Cake","Almond Tart","Chocolate Meringue","Marzipan Cookie","Tuile Cookie",NA,NA
"200","Coffee Eclair","Blackberry Tart","Apricot Croissant",NA,NA,NA,NA,NA
"201","Berry Tart","Cheese Croissant","Bottled Water",NA,NA,NA,NA,NA
"202","Truffle Cake","Gongolais Cookie","Almond Bear Claw",NA,NA,NA,NA,NA
"203","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"204","Lemon Cake","Blackberry Tart","Walnut Cookie","Almond Bear Claw",NA,NA,NA,NA
"205","Chocolate Tart","Walnut Cookie","Chocolate Coffee","Vanilla Frappuccino",NA,NA,NA,NA
"206","Coffee Eclair","Apple Pie","Ganache Cookie","Lemon Cookie","Almond Twist","Hot Coffee",NA,NA
"207","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"208","Casino Cake","Raspberry Cookie","Vanilla Meringue",NA,NA,NA,NA,NA
"209","Truffle Cake","Coffee Eclair","Almond Tart","Gongolais Cookie","Apple Croissant","Vanilla Frappuccino",NA,NA
"210","Opera Cake","Napoleon Cake","Blackberry Tart","Chocolate Croissant","Apricot Danish",NA,NA,NA
"211","Vanilla Meringue","Chocolate Croissant","Apple Danish","Almond Twist",NA,NA,NA,NA
"212","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"213","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"214","Apple Tart","Lemon Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"215","Apple Tart","Lemon Tart",NA,NA,NA,NA,NA,NA
"216","Chocolate Cake","Cherry Tart","Chocolate Coffee",NA,NA,NA,NA,NA
"217","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"218","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"219","Opera Cake","Cherry Tart","Apricot Danish","Green Tea",NA,NA,NA,NA
"220","Strawberry Cake","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"221","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade",NA,NA,NA,NA
"222","Cherry Tart","Tuile Cookie","Cheese Croissant","Orange Juice",NA,NA,NA,NA
"223","Chocolate Tart","Gongolais Cookie","Raspberry Cookie","Cheese Croissant","Blueberry Danish","Orange Juice","Green Tea",NA
"224","Chocolate Eclair","Lemon Tart","Raspberry Lemonade",NA,NA,NA,NA,NA
"225","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"226","Blueberry Tart","Tuile Cookie","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"227","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"228","Almond Twist",NA,NA,NA,NA,NA,NA,NA
"229","Apricot Tart","Lemon Cookie","Tuile Cookie","Raspberry Lemonade",NA,NA,NA,NA
"230","Almond Tart","Apple Tart","Blueberry Danish","Chocolate Coffee","Single Espresso",NA,NA,NA
"231","Apricot Tart","Apricot Danish","Lemon Lemonade",NA,NA,NA,NA,NA
"232","Coffee Eclair","Apple Tart","Berry Tart","Raspberry Cookie","Almond Twist","Bottled Water","Single Espresso",NA
"233","Coffee Eclair","Almond Tart","Berry Tart","Blackberry Tart","Single Espresso",NA,NA,NA
"234","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"235","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA,NA
"236","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"237","Casino Cake","Chocolate Eclair","Vanilla Eclair","Raspberry Lemonade",NA,NA,NA,NA
"238","Chocolate Tart","Vanilla Meringue","Cherry Soda","Single Espresso",NA,NA,NA,NA
"239","Raspberry Lemonade",NA,NA,NA,NA,NA,NA,NA
"240","Truffle Cake","Coffee Eclair","Almond Tart",NA,NA,NA,NA,NA
"241","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"242","Apricot Tart","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"243","Chocolate Eclair","Chocolate Croissant","Almond Bear Claw","Raspberry Lemonade","Orange Juice",NA,NA,NA
"244","Blueberry Danish","Single Espresso",NA,NA,NA,NA,NA,NA
"245","Chocolate Cake","Casino Cake","Apple Tart","Apple Croissant","Chocolate Coffee",NA,NA,NA
"246","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"247","Raspberry Cookie","Chocolate Meringue","Apricot Danish","Almond Bear Claw",NA,NA,NA,NA
"248","Blueberry Tart","Pecan Tart","Almond Croissant",NA,NA,NA,NA,NA
"249","Berry Tart","Apple Danish","Bottled Water",NA,NA,NA,NA,NA
"250","Walnut Cookie",NA,NA,NA,NA,NA,NA,NA
"251","Almond Tart","Ganache Cookie","Raspberry Cookie","Raspberry Lemonade","Bottled Water","Hot Coffee",NA,NA
"252","Apple Pie","Lemon Tart","Apple Danish",NA,NA,NA,NA,NA
"253","Strawberry Cake","Truffle Cake","Cherry Soda",NA,NA,NA,NA,NA
"254","Almond Twist","Orange Juice","Single Espresso",NA,NA,NA,NA,NA
"255","Opera Cake","Berry Tart",NA,NA,NA,NA,NA,NA
"256","Napoleon Cake","Blueberry Tart","Lemon Tart","Gongolais Cookie","Apricot Croissant",NA,NA,NA
"257","Chocolate Cake","Strawberry Cake","Coffee Eclair","Napoleon Cake","Apple Pie","Lemon Lemonade",NA,NA
"258","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"259","Almond Tart","Apricot Tart","Blueberry Tart","Chocolate Tart","Cherry Tart","Almond Twist","Cherry Soda",NA
"260","Coffee Eclair","Hot Coffee","Single Espresso",NA,NA,NA,NA,NA
"261","Napoleon Cake","Lemon Tart","Vanilla Frappuccino",NA,NA,NA,NA,NA
"262","Green Tea","Single Espresso",NA,NA,NA,NA,NA,NA
"263","Berry Tart",NA,NA,NA,NA,NA,NA,NA
"264","Strawberry Cake","Napoleon Cake","Tuile Cookie","Raspberry Lemonade",NA,NA,NA,NA
"265","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"266","Opera Cake","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"267","Raspberry Cookie","Tuile Cookie","Walnut Cookie","Raspberry Lemonade",NA,NA,NA,NA
"268","Casino Cake","Almond Tart",NA,NA,NA,NA,NA,NA
"269","Apple Pie","Lemon Tart","Orange Juice","Hot Coffee",NA,NA,NA,NA
"270","Raspberry Cookie","Vanilla Meringue","Almond Croissant","Cheese Croissant","Orange Juice","Vanilla Frappuccino",NA,NA
"271","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"272","Chocolate Tart","Walnut Cookie","Chocolate Coffee","Vanilla Frappuccino",NA,NA,NA,NA
"273","Casino Cake",NA,NA,NA,NA,NA,NA,NA
"274","Apricot Tart","Hot Coffee","Chocolate Coffee","Vanilla Frappuccino","Cherry Soda",NA,NA,NA
"275","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"276","Opera Cake","Almond Tart","Raspberry Cookie","Lemon Cookie","Almond Twist","Bottled Water","Vanilla Frappuccino",NA
"277","Napoleon Cake","Apricot Tart","Blackberry Tart","Ganache Cookie","Tuile Cookie","Walnut Cookie",NA,NA
"278","Lemon Cake","Ganache Cookie","Chocolate Croissant",NA,NA,NA,NA,NA
"279","Almond Twist","Single Espresso",NA,NA,NA,NA,NA,NA
"280","Apricot Tart","Berry Tart","Blackberry Tart","Bottled Water",NA,NA,NA,NA
"281","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"282","Chocolate Cake","Casino Cake","Almond Bear Claw","Chocolate Coffee",NA,NA,NA,NA
"283","Blueberry Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"284","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"285","Opera Cake","Berry Tart","Almond Bear Claw",NA,NA,NA,NA,NA
"286","Apricot Tart","Ganache Cookie","Gongolais Cookie","Tuile Cookie","Apple Danish","Cherry Soda",NA,NA
"287","Gongolais Cookie","Almond Croissant","Blueberry Danish",NA,NA,NA,NA,NA
"288","Almond Tart","Blueberry Tart","Cheese Croissant","Lemon Lemonade","Orange Juice",NA,NA,NA
"289","Opera Cake","Vanilla Eclair","Almond Tart","Blackberry Tart","Cherry Tart","Apple Croissant","Apricot Danish",NA
"290","Opera Cake","Strawberry Cake","Berry Tart","Marzipan Cookie","Bottled Water","Hot Coffee",NA,NA
"291","Casino Cake","Opera Cake","Truffle Cake","Chocolate Tart","Walnut Cookie","Orange Juice","Chocolate Coffee",NA
"292","Lemon Cake","Lemon Tart","Marzipan Cookie",NA,NA,NA,NA,NA
"293","Lemon Tart","Vanilla Meringue","Bottled Water",NA,NA,NA,NA,NA
"294","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"295","Strawberry Cake","Napoleon Cake","Lemon Cookie",NA,NA,NA,NA,NA
"296","Casino Cake","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"297","Lemon Cake","Berry Tart","Cherry Tart","Almond Bear Claw",NA,NA,NA,NA
