"","P1","P2","P3","P4","P5","P6","P7","P8"
"153","Napoleon Cake","Apple Pie","Gongolais Cookie","Lemon Cookie","Raspberry Lemonade",NA,NA,NA
"154","Napoleon Cake",NA,NA,NA,NA,NA,NA,NA
"155","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"156","Strawberry Cake","Chocolate Eclair","Vanilla Eclair","Cherry Soda",NA,NA,NA,NA
"157","Strawberry Cake","Napoleon Cake","Berry Tart",NA,NA,NA,NA,NA
"158","Opera Cake","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA
"159","Casino Cake","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA
"160","Truffle Cake","Coffee Eclair","Blackberry Tart","Cherry Tart","Apricot Danish","Single Espresso",NA,NA
"161","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"162","Chocolate Cake","Casino Cake","Almond Tart",NA,NA,NA,NA,NA
"163","Casino Cake","Marzipan Cookie","Apple Danish",NA,NA,NA,NA,NA
"164","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"165","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"166","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"167","Apple Tart","Gongolais Cookie","Marzipan Cookie","Cherry Soda",NA,NA,NA,NA
"168","Truffle Cake","Vanilla Eclair","Gongolais Cookie","Apple Croissant",NA,NA,NA,NA
"169","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"170","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"171","Strawberry Cake","Chocolate Meringue","Apricot Danish","Green Tea",NA,NA,NA,NA
"172","Truffle Cake","Gongolais Cookie","Almond Croissant","Apple Danish","Bottled Water",NA,NA,NA
"173","Lemon Cake","Casino Cake","Chocolate Eclair","Coffee Eclair","Gongolais Cookie",NA,NA,NA
"174","Apricot Tart","Gongolais Cookie","Tuile Cookie","Apricot Danish",NA,NA,NA,NA
"175","Opera Cake","Lemon Tart","Green Tea",NA,NA,NA,NA,NA
"176","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"177","Lemon Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"178","Hot Coffee",NA,NA,NA,NA,NA,NA,NA
"179","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"180","Tuile Cookie","Apricot Croissant","Apricot Danish","Almond Twist",NA,NA,NA,NA
"181","Strawberry Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"182","Chocolate Cake","Ganache Cookie","Chocolate Coffee",NA,NA,NA,NA,NA
"183","Chocolate Cake","Casino Cake","Coffee Eclair","Cheese Croissant","Orange Juice",NA,NA,NA
"184","Vanilla Eclair","Lemon Cookie",NA,NA,NA,NA,NA,NA
"185","Marzipan Cookie","Tuile Cookie","Raspberry Lemonade","Orange Juice",NA,NA,NA,NA
"186","Napoleon Cake","Hot Coffee",NA,NA,NA,NA,NA,NA
"187","Casino Cake","Walnut Cookie","Lemon Lemonade","Green Tea","Cherry Soda",NA,NA,NA
"188","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"189","Truffle Cake","Apricot Tart","Apricot Danish","Almond Twist","Green Tea",NA,NA,NA
"190","Chocolate Meringue",NA,NA,NA,NA,NA,NA,NA
"191","Cherry Tart","Lemon Cookie","Walnut Cookie","Almond Bear Claw","Hot Coffee",NA,NA,NA
"192","Strawberry Cake","Truffle Cake","Chocolate Meringue",NA,NA,NA,NA,NA
"193","Ganache Cookie",NA,NA,NA,NA,NA,NA,NA
"194","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"195","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"196","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"197","Lemon Cake","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA
"198","Chocolate Tart","Almond Bear Claw",NA,NA,NA,NA,NA,NA
"199","Lemon Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"200","Almond Tart","Vanilla Meringue","Marzipan Cookie","Lemon Lemonade",NA,NA,NA,NA
"201","Coffee Eclair","Lemon Tart","Tuile Cookie","Apple Croissant","Almond Bear Claw","Blueberry Danish",NA,NA
"202","Opera Cake","Cherry Tart","Chocolate Croissant",NA,NA,NA,NA,NA
"203","Apple Tart","Berry Tart",NA,NA,NA,NA,NA,NA
"204","Truffle Cake","Gongolais Cookie","Raspberry Cookie","Almond Twist","Raspberry Lemonade",NA,NA,NA
"205","Chocolate Cake","Vanilla Eclair","Bottled Water",NA,NA,NA,NA,NA
"206","Coffee Eclair","Lemon Tart","Hot Coffee",NA,NA,NA,NA,NA
"207","Chocolate Eclair","Berry Tart","Gongolais Cookie","Lemon Cookie",NA,NA,NA,NA
"208","Chocolate Cake","Blueberry Tart","Apple Danish",NA,NA,NA,NA,NA
"209","Almond Croissant","Almond Bear Claw","Chocolate Coffee",NA,NA,NA,NA,NA
"210","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"211","Coffee Eclair","Napoleon Cake","Chocolate Meringue","Apple Danish",NA,NA,NA,NA
"212","Strawberry Cake","Apple Tart","Chocolate Meringue","Apricot Croissant",NA,NA,NA,NA
"213","Opera Cake","Cherry Tart","Pecan Tart","Raspberry Cookie","Vanilla Meringue","Cheese Croissant","Apricot Danish",NA
"214","Coffee Eclair","Almond Tart","Tuile Cookie","Apricot Croissant",NA,NA,NA,NA
"215","Lemon Cake","Strawberry Cake","Chocolate Eclair","Blueberry Tart","Chocolate Tart","Apple Danish","Almond Bear Claw","Hot Coffee"
"216","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"217","Lemon Cake","Lemon Tart","Ganache Cookie","Blueberry Danish",NA,NA,NA,NA
"218","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee","Cherry Soda",NA,NA,NA
"219","Marzipan Cookie","Chocolate Coffee",NA,NA,NA,NA,NA,NA
"220","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"221","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"222","Truffle Cake","Almond Tart","Apple Pie",NA,NA,NA,NA,NA
"223","Marzipan Cookie","Tuile Cookie","Cheese Croissant","Cherry Soda",NA,NA,NA,NA
"224","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"225","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA,NA
"226","Pecan Tart","Raspberry Lemonade",NA,NA,NA,NA,NA,NA
"227","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"228","Lemon Cake","Opera Cake","Lemon Tart","Ganache Cookie",NA,NA,NA,NA
"229","Berry Tart","Cherry Tart","Lemon Tart","Apple Croissant","Blueberry Danish",NA,NA,NA
"230","Coffee Eclair","Blackberry Tart",NA,NA,NA,NA,NA,NA
"231","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"232","Napoleon Cake","Apricot Croissant","Lemon Lemonade",NA,NA,NA,NA,NA
"233","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"234","Truffle Cake","Napoleon Cake","Almond Bear Claw","Blueberry Danish","Lemon Lemonade","Green Tea",NA,NA
"235","Strawberry Cake","Raspberry Cookie",NA,NA,NA,NA,NA,NA
"236","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"237","Opera Cake","Truffle Cake","Coffee Eclair","Gongolais Cookie","Tuile Cookie","Hot Coffee",NA,NA
"238","Strawberry Cake","Apricot Tart","Berry Tart","Marzipan Cookie","Tuile Cookie","Almond Bear Claw",NA,NA
"239","Cherry Tart","Almond Twist","Single Espresso",NA,NA,NA,NA,NA
"240","Apricot Danish","Lemon Lemonade","Hot Coffee",NA,NA,NA,NA,NA
"241","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"242","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"243","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"244","Vanilla Eclair","Apricot Tart","Berry Tart","Blueberry Tart","Walnut Cookie","Apple Croissant","Bottled Water",NA
"245","Tuile Cookie","Green Tea",NA,NA,NA,NA,NA,NA
"246","Opera Cake",NA,NA,NA,NA,NA,NA,NA
"247","Blueberry Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"248","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"249","Almond Croissant","Lemon Lemonade",NA,NA,NA,NA,NA,NA
"250","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"251","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"252","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"253","Coffee Eclair","Blackberry Tart",NA,NA,NA,NA,NA,NA
"254","Blueberry Tart","Apricot Croissant","Cheese Croissant",NA,NA,NA,NA,NA
"255","Casino Cake","Truffle Cake","Coffee Eclair","Apple Pie","Apricot Danish","Raspberry Lemonade",NA,NA
"256","Lemon Cookie","Walnut Cookie","Apple Danish","Almond Bear Claw","Single Espresso",NA,NA,NA
"257","Apricot Tart","Marzipan Cookie","Tuile Cookie","Single Espresso",NA,NA,NA,NA
"258","Lemon Cake","Lemon Tart","Tuile Cookie","Bottled Water",NA,NA,NA,NA
"259","Truffle Cake","Napoleon Cake","Ganache Cookie","Vanilla Meringue","Almond Croissant","Chocolate Coffee","Vanilla Frappuccino",NA
"260","Chocolate Tart","Raspberry Cookie","Hot Coffee",NA,NA,NA,NA,NA
"261","Blueberry Tart","Cherry Tart","Blueberry Danish","Green Tea",NA,NA,NA,NA
"262","Vanilla Eclair","Berry Tart","Vanilla Meringue","Walnut Cookie",NA,NA,NA,NA
"263","Chocolate Cake","Lemon Cake","Truffle Cake","Vanilla Eclair","Gongolais Cookie","Raspberry Cookie","Bottled Water",NA
"264","Casino Cake","Gongolais Cookie","Cheese Croissant","Almond Twist",NA,NA,NA,NA
"265","Gongolais Cookie","Chocolate Meringue","Walnut Cookie","Apple Croissant","Apple Danish",NA,NA,NA
"266","Chocolate Eclair","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"267","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"268","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"269","Apricot Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"270","Chocolate Tart","Walnut Cookie","Blueberry Danish","Vanilla Frappuccino",NA,NA,NA,NA
"271","Vanilla Meringue","Orange Juice",NA,NA,NA,NA,NA,NA
"272","Ganache Cookie","Vanilla Meringue","Almond Bear Claw",NA,NA,NA,NA,NA
"273","Vanilla Eclair",NA,NA,NA,NA,NA,NA,NA
"274","Opera Cake","Chocolate Eclair","Blueberry Tart","Cherry Tart","Chocolate Meringue","Apricot Danish",NA,NA
"275","Apple Tart","Blueberry Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA
"276","Napoleon Cake",NA,NA,NA,NA,NA,NA,NA
"277","Coffee Eclair","Tuile Cookie",NA,NA,NA,NA,NA,NA
"278","Apple Tart",NA,NA,NA,NA,NA,NA,NA
"279","Berry Tart","Gongolais Cookie","Bottled Water",NA,NA,NA,NA,NA
"280","Lemon Cookie","Walnut Cookie","Orange Juice",NA,NA,NA,NA,NA
"281","Apple Croissant","Cheese Croissant","Cherry Soda",NA,NA,NA,NA,NA
"282","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"283","Marzipan Cookie","Tuile Cookie","Almond Twist",NA,NA,NA,NA,NA
"284","Chocolate Cake","Casino Cake","Coffee Eclair","Chocolate Coffee",NA,NA,NA,NA
"285","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"286","Berry Tart","Blueberry Tart","Lemon Tart","Apricot Croissant","Raspberry Lemonade","Hot Coffee",NA,NA
"287","Almond Tart","Raspberry Cookie","Lemon Cookie",NA,NA,NA,NA,NA
"288","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"289","Cheese Croissant","Chocolate Croissant","Cherry Soda",NA,NA,NA,NA,NA
"290","Lemon Cake","Lemon Tart","Almond Croissant",NA,NA,NA,NA,NA
"291","Strawberry Cake","Napoleon Cake","Lemon Tart","Orange Juice","Bottled Water",NA,NA,NA
"292","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"293","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"294","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"295","Apple Tart","Apple Croissant","Apricot Croissant","Apple Danish","Cherry Soda",NA,NA,NA
"296","Opera Cake","Berry Tart","Lemon Tart","Pecan Tart","Bottled Water",NA,NA,NA
"297","Gongolais Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"298","Berry Tart","Bottled Water","Hot Coffee",NA,NA,NA,NA,NA
"299","Apple Croissant","Blueberry Danish","Cherry Soda",NA,NA,NA,NA,NA
"300","Opera Cake","Blackberry Tart","Chocolate Meringue","Vanilla Frappuccino",NA,NA,NA,NA
"301","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
